instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
68,2011-03-09,spring,2011,3,0,3,1,2,0.295833,2.916127999999997,0.775417,0.22015,191,1700,1891
69,2011-03-10,spring,2011,3,0,4,1,3,0.389091,9.454088000000002,0.0,0.261877,46,577,623
70,2011-03-11,spring,2011,3,0,5,1,2,0.316522,4.129999999999999,0.649565,0.23297,247,1730,1977
71,2011-03-12,spring,2011,3,0,6,0,1,0.329167,5.499499999999998,0.594583,0.220775,724,1408,2132
72,2011-03-13,spring,2011,3,0,0,0,1,0.384348,9.086006000000001,0.527391,0.270604,982,1435,2417
73,2011-03-14,spring,2011,3,0,1,1,1,0.325217,5.912000000000003,0.496957,0.136926,359,1687,2046
74,2011-03-15,spring,2011,3,0,2,1,2,0.317391,4.999748,0.655652,0.184309,289,1767,2056
75,2011-03-16,spring,2011,3,0,3,1,2,0.365217,8.217379999999999,0.776522,0.203117,321,1871,2192
76,2011-03-17,spring,2011,3,0,4,1,1,0.415,11.081978,0.602917,0.209579,424,2320,2744
77,2011-03-18,spring,2011,3,0,5,1,1,0.54,18.782593999999996,0.525217,0.231017,884,2355,3239
78,2011-03-19,spring,2011,3,0,6,0,1,0.4725,14.790650000000003,0.379167,0.368167,1424,1693,3117
79,2011-03-20,spring,2011,3,0,0,0,1,0.3325,5.499499999999998,0.47375,0.207721,1047,1424,2471
80,2011-03-21,summer,2011,3,0,1,1,2,0.430435,11.04251,0.737391,0.288783,401,1676,2077
81,2011-03-22,summer,2011,3,0,2,1,1,0.441667,13.082372,0.624583,0.22575,460,2243,2703
82,2011-03-23,summer,2011,3,0,3,1,2,0.346957,6.303974,0.839565,0.234261,203,1918,2121
83,2011-03-24,summer,2011,3,0,4,1,2,0.285,1.8749779999999987,0.805833,0.243787,166,1699,1865
84,2011-03-25,summer,2011,3,0,5,1,1,0.264167,0.9165919999999979,0.495,0.230725,300,1910,2210
85,2011-03-26,summer,2011,3,0,6,0,1,0.265833,0.9996860000000005,0.394167,0.209571,981,1515,2496
86,2011-03-27,summer,2011,3,0,0,0,2,0.253043,0.5223739999999992,0.493913,0.1843,472,1221,1693
87,2011-03-28,summer,2011,3,0,1,1,1,0.264348,0.9998840000000015,0.302174,0.212204,222,1806,2028
88,2011-03-29,summer,2011,3,0,2,1,1,0.3025,3.3319280000000013,0.314167,0.226996,317,2108,2425
89,2011-03-30,summer,2011,3,0,3,1,2,0.3,3.6250999999999998,0.646667,0.172888,168,1368,1536
90,2011-03-31,summer,2011,3,0,4,1,3,0.268333,0.9999499999999983,0.918333,0.217646,179,1506,1685
91,2011-04-01,summer,2011,4,0,5,1,2,0.3,2.7079640000000005,0.68625,0.258708,307,1920,2227
92,2011-04-02,summer,2011,4,0,6,0,2,0.315,4.832042000000001,0.65375,0.197146,898,1354,2252
93,2011-04-03,summer,2011,4,0,0,0,1,0.378333,8.998622000000001,0.48,0.182213,1651,1598,3249
94,2011-04-04,summer,2011,4,0,1,1,1,0.573333,19.833314,0.42625,0.385571,734,2381,3115
95,2011-04-05,summer,2011,4,0,2,1,2,0.414167,10.2911,0.642083,0.388067,167,1628,1795
96,2011-04-06,summer,2011,4,0,3,1,1,0.390833,9.582128,0.470833,0.263063,413,2395,2808
97,2011-04-07,summer,2011,4,0,4,1,1,0.4375,12.623936,0.602917,0.162312,571,2570,3141
98,2011-04-08,summer,2011,4,0,5,1,2,0.335833,5.4156140000000015,0.83625,0.226992,172,1299,1471
99,2011-04-09,summer,2011,4,0,6,0,2,0.3425,6.540914000000001,0.8775,0.133083,879,1576,2455
100,2011-04-10,summer,2011,4,0,0,0,2,0.426667,12.164641999999997,0.8575,0.146767,1188,1707,2895
101,2011-04-11,summer,2011,4,0,1,1,2,0.595652,21.304322,0.716956,0.324474,855,2493,3348
102,2011-04-12,summer,2011,4,0,2,1,2,0.5025,16.541564,0.739167,0.274879,257,1777,2034
103,2011-04-13,summer,2011,4,0,3,1,2,0.4125,11.540678,0.819167,0.250617,209,1953,2162
104,2011-04-14,summer,2011,4,0,4,1,1,0.4675,14.540972,0.540417,0.1107,529,2738,3267
105,2011-04-15,summer,2011,4,1,5,0,1,0.446667,13.166258,0.67125,0.226375,642,2484,3126
106,2011-04-16,summer,2011,4,0,6,0,3,0.430833,12.082472,0.888333,0.340808,121,674,795
107,2011-04-17,summer,2011,4,0,0,0,1,0.456667,13.415935999999999,0.479583,0.303496,1558,2186,3744
108,2011-04-18,summer,2011,4,0,1,1,1,0.5125,17.207636,0.5425,0.163567,669,2760,3429
109,2011-04-19,summer,2011,4,0,2,1,2,0.505833,16.291028000000004,0.665833,0.157971,409,2795,3204
110,2011-04-20,summer,2011,4,0,3,1,1,0.595,21.249872000000003,0.614167,0.241925,613,3331,3944
111,2011-04-21,summer,2011,4,0,4,1,1,0.459167,13.956872,0.407083,0.325258,745,3444,4189
112,2011-04-22,summer,2011,4,0,5,1,2,0.336667,5.248964000000001,0.729583,0.219521,177,1506,1683
113,2011-04-23,summer,2011,4,0,6,0,2,0.46,13.707985999999998,0.887917,0.230725,1462,2574,4036
114,2011-04-24,summer,2011,4,0,0,0,2,0.581667,20.416358000000002,0.810833,0.192175,1710,2481,4191
115,2011-04-25,summer,2011,4,0,1,1,1,0.606667,21.917,0.776667,0.185333,773,3300,4073
116,2011-04-26,summer,2011,4,0,2,1,1,0.631667,23.209478000000004,0.729167,0.3265,678,3722,4400
117,2011-04-27,summer,2011,4,0,3,1,2,0.62,21.959372000000002,0.835417,0.3122,547,3325,3872
118,2011-04-28,summer,2011,4,0,4,1,2,0.6175,22.209314,0.700833,0.320908,569,3489,4058
119,2011-04-29,summer,2011,4,0,5,1,1,0.51,16.832558,0.457083,0.240063,878,3717,4595
120,2011-04-30,summer,2011,4,0,6,0,1,0.4725,14.625386000000002,0.503333,0.235075,1965,3347,5312
121,2011-05-01,summer,2011,5,0,0,0,2,0.451667,13.581464,0.762083,0.106354,1138,2213,3351
122,2011-05-02,summer,2011,5,0,1,1,2,0.549167,19.166978,0.73,0.183454,847,3554,4401
123,2011-05-03,summer,2011,5,0,2,1,2,0.616667,22.417214,0.697083,0.342667,603,3848,4451
124,2011-05-04,summer,2011,5,0,3,1,2,0.414167,10.706900000000001,0.737083,0.328996,255,2378,2633
125,2011-05-05,summer,2011,5,0,4,1,1,0.459167,13.166522,0.444167,0.295392,614,3819,4433
126,2011-05-06,summer,2011,5,0,5,1,1,0.479167,15.291722,0.59,0.228246,894,3714,4608
127,2011-05-07,summer,2011,5,0,6,0,1,0.52,17.832986,0.54125,0.16045,1612,3102,4714
128,2011-05-08,summer,2011,5,0,0,0,1,0.528333,18.249578,0.631667,0.0746375,1401,2932,4333
129,2011-05-09,summer,2011,5,0,1,1,1,0.5325,18.666235999999998,0.58875,0.176,664,3698,4362
130,2011-05-10,summer,2011,5,0,2,1,1,0.5325,18.499586,0.489167,0.115671,694,4109,4803
131,2011-05-11,summer,2011,5,0,3,1,1,0.5425,18.8744,0.632917,0.120642,550,3632,4182
132,2011-05-12,summer,2011,5,0,4,1,1,0.535,18.541958,0.7475,0.189667,695,4169,4864
133,2011-05-13,summer,2011,5,0,5,1,2,0.5125,16.623800000000003,0.863333,0.179725,692,3413,4105
134,2011-05-14,summer,2011,5,0,6,0,2,0.520833,17.041514,0.9225,0.13495,902,2507,3409
135,2011-05-15,summer,2011,5,0,0,0,2,0.5625,19.376000000000005,0.867083,0.152979,1582,2971,4553
136,2011-05-16,summer,2011,5,0,1,1,1,0.5775,20.333792000000003,0.787917,0.126871,773,3185,3958
137,2011-05-17,summer,2011,5,0,2,1,2,0.561667,19.542914000000003,0.837917,0.277354,678,3445,4123
138,2011-05-18,summer,2011,5,0,3,1,2,0.55,18.792428,0.87,0.201492,536,3319,3855
139,2011-05-19,summer,2011,5,0,4,1,2,0.530833,17.708972000000003,0.829583,0.108213,735,3840,4575
140,2011-05-20,summer,2011,5,0,5,1,1,0.536667,18.916772,0.719583,0.125013,909,4008,4917
141,2011-05-21,summer,2011,5,0,6,0,1,0.6025,21.750349999999997,0.626667,0.12065,2258,3547,5805
142,2011-05-22,summer,2011,5,0,0,0,1,0.604167,21.917,0.749583,0.148008,1576,3084,4660
143,2011-05-23,summer,2011,5,0,1,1,2,0.631667,22.959536,0.81,0.233842,836,3438,4274
144,2011-05-24,summer,2011,5,0,2,1,2,0.66,23.917658000000003,0.740833,0.207092,659,3833,4492
145,2011-05-25,summer,2011,5,0,3,1,1,0.660833,24.625772000000005,0.69625,0.154233,740,4238,4978
146,2011-05-26,summer,2011,5,0,4,1,1,0.708333,27.209408000000003,0.6775,0.199642,758,3919,4677
147,2011-05-27,summer,2011,5,0,5,1,1,0.681667,26.042528000000004,0.65375,0.240679,871,3808,4679
148,2011-05-28,summer,2011,5,0,6,0,1,0.655833,24.417014,0.729583,0.230092,2001,2757,4758
149,2011-05-29,summer,2011,5,0,0,0,1,0.6675,24.6263,0.81875,0.213938,2355,2433,4788
150,2011-05-30,summer,2011,5,1,1,0,1,0.733333,28.292072000000005,0.685,0.131225,1549,2549,4098
151,2011-05-31,summer,2011,5,0,2,1,1,0.775,31.875278,0.636667,0.111329,673,3309,3982
152,2011-06-01,summer,2011,6,0,3,1,2,0.764167,31.583822000000005,0.677083,0.207092,513,3461,3974
153,2011-06-02,summer,2011,6,0,4,1,1,0.715,26.500172,0.305,0.292287,736,4232,4968
154,2011-06-03,summer,2011,6,0,5,1,1,0.62,22.750778000000004,0.354167,0.253121,898,4414,5312
155,2011-06-04,summer,2011,6,0,6,0,1,0.635,23.249935999999998,0.45625,0.123142,1869,3473,5342
156,2011-06-05,summer,2011,6,0,0,0,2,0.648333,24.709063999999998,0.6525,0.138692,1685,3221,4906
157,2011-06-06,summer,2011,6,0,1,1,1,0.678333,25.042628,0.6,0.121896,673,3875,4548
158,2011-06-07,summer,2011,6,0,2,1,1,0.7075,27.292700000000004,0.597917,0.187808,763,4070,4833
159,2011-06-08,summer,2011,6,0,3,1,1,0.775833,32.000414,0.622083,0.136817,676,3725,4401
160,2011-06-09,summer,2011,6,0,4,1,2,0.808333,34.000214,0.568333,0.149883,563,3352,3915
161,2011-06-10,summer,2011,6,0,5,1,1,0.755,30.417272000000004,0.605,0.140554,815,3771,4586
162,2011-06-11,summer,2011,6,0,6,0,1,0.725,28.750508000000004,0.654583,0.15485,1729,3237,4966
163,2011-06-12,summer,2011,6,0,0,0,1,0.6925,26.459450000000004,0.747917,0.163567,1467,2993,4460
164,2011-06-13,summer,2011,6,0,1,1,1,0.635,23.709164,0.494583,0.30535,863,4157,5020
165,2011-06-14,summer,2011,6,0,2,1,1,0.604167,23.042036000000003,0.507083,0.269283,727,4164,4891
166,2011-06-15,summer,2011,6,0,3,1,1,0.626667,22.791764,0.471667,0.167912,769,4411,5180
167,2011-06-16,summer,2011,6,0,4,1,2,0.628333,23.292836,0.688333,0.206471,545,3222,3767
168,2011-06-17,summer,2011,6,0,5,1,1,0.649167,23.625278,0.735833,0.143029,863,3981,4844
169,2011-06-18,summer,2011,6,0,6,0,1,0.696667,26.500964000000003,0.670417,0.119408,1807,3312,5119
170,2011-06-19,summer,2011,6,0,0,0,2,0.699167,26.625836,0.666667,0.102,1639,3105,4744
171,2011-06-20,summer,2011,6,0,1,1,2,0.635,23.292836,0.74625,0.155475,699,3311,4010
172,2011-06-21,fall,2011,6,0,2,1,2,0.680833,26.084636000000003,0.770417,0.171025,774,4061,4835
173,2011-06-22,fall,2011,6,0,3,1,1,0.733333,29.792714000000004,0.7075,0.172262,661,3846,4507
174,2011-06-23,fall,2011,6,0,4,1,2,0.728333,29.792978000000005,0.703333,0.238804,746,4044,4790
175,2011-06-24,fall,2011,6,0,5,1,1,0.724167,27.334478000000004,0.573333,0.222025,969,4022,4991
176,2011-06-25,fall,2011,6,0,6,0,1,0.695,26.458658,0.483333,0.209571,1782,3420,5202
177,2011-06-26,fall,2011,6,0,0,0,1,0.68,26.083514,0.513333,0.0945333,1920,3385,5305
178,2011-06-27,fall,2011,6,0,1,1,2,0.6825,26.042264000000003,0.658333,0.107588,854,3854,4708
179,2011-06-28,fall,2011,6,0,2,1,1,0.744167,29.708827999999997,0.634167,0.144283,732,3916,4648
180,2011-06-29,fall,2011,6,0,3,1,1,0.728333,27.209408000000003,0.497917,0.261821,848,4377,5225
181,2011-06-30,fall,2011,6,0,4,1,1,0.696667,26.042528000000004,0.434167,0.185312,1027,4488,5515
182,2011-07-01,fall,2011,7,0,5,1,1,0.7225,27.042692000000002,0.39625,0.102608,1246,4116,5362
183,2011-07-02,fall,2011,7,0,6,0,1,0.738333,28.042327999999998,0.444583,0.115062,2204,2915,5119
184,2011-07-03,fall,2011,7,0,0,0,2,0.716667,28.125950000000003,0.6825,0.228858,2282,2367,4649
185,2011-07-04,fall,2011,7,1,1,0,2,0.726667,27.917522000000005,0.637917,0.0814792,3065,2978,6043
186,2011-07-05,fall,2011,7,0,2,1,1,0.746667,29.958308000000002,0.590417,0.126258,1031,3634,4665
187,2011-07-06,fall,2011,7,0,3,1,1,0.72,29.251778,0.743333,0.149883,784,3845,4629
188,2011-07-07,fall,2011,7,0,4,1,1,0.75,29.333486,0.65125,0.1592,754,3838,4592
189,2011-07-08,fall,2011,7,0,5,1,2,0.709167,28.251878000000005,0.757917,0.225129,692,3348,4040
190,2011-07-09,fall,2011,7,0,6,0,1,0.733333,27.834428000000003,0.609167,0.167912,1988,3348,5336
191,2011-07-10,fall,2011,7,0,0,0,1,0.7475,29.541649999999997,0.578333,0.183471,1743,3138,4881
192,2011-07-11,fall,2011,7,0,1,1,1,0.7625,32.167064,0.635833,0.282337,723,3363,4086
193,2011-07-12,fall,2011,7,0,2,1,1,0.794167,32.79215,0.559167,0.200254,662,3596,4258
194,2011-07-13,fall,2011,7,0,3,1,1,0.746667,29.500664,0.631667,0.146133,748,3594,4342
195,2011-07-14,fall,2011,7,0,4,1,1,0.680833,25.916863999999997,0.47625,0.240667,888,4196,5084
196,2011-07-15,fall,2011,7,0,5,1,1,0.663333,25.208486,0.59125,0.182833,1318,4220,5538
197,2011-07-16,fall,2011,7,0,6,0,1,0.686667,26.125358,0.585,0.208342,2418,3505,5923
198,2011-07-17,fall,2011,7,0,0,0,1,0.719167,28.208978000000002,0.604167,0.245033,2006,3296,5302
199,2011-07-18,fall,2011,7,0,1,1,1,0.746667,30.459050000000005,0.65125,0.215804,841,3617,4458
200,2011-07-19,fall,2011,7,0,2,1,1,0.776667,33.333614,0.650417,0.1306,752,3789,4541
201,2011-07-20,fall,2011,7,0,3,1,1,0.768333,33.2921,0.707083,0.113817,644,3688,4332
202,2011-07-21,fall,2011,7,0,4,1,2,0.815,38.540486,0.69125,0.222021,632,3152,3784
203,2011-07-22,fall,2011,7,0,5,1,1,0.848333,39.499136,0.580417,0.1331,562,2825,3387
204,2011-07-23,fall,2011,7,0,6,0,1,0.849167,37.082941999999996,0.5,0.131221,987,2298,3285
205,2011-07-24,fall,2011,7,0,0,0,1,0.83,36.458714,0.550833,0.169171,1050,2556,3606
206,2011-07-25,fall,2011,7,0,1,1,1,0.743333,31.583228,0.757083,0.0908083,568,3272,3840
207,2011-07-26,fall,2011,7,0,2,1,1,0.771667,30.000614,0.540833,0.200258,750,3840,4590
208,2011-07-27,fall,2011,7,0,3,1,1,0.775,29.584022000000004,0.402917,0.183463,755,3901,4656
209,2011-07-28,fall,2011,7,0,4,1,1,0.779167,32.8334,0.583333,0.178479,606,3784,4390
210,2011-07-29,fall,2011,7,0,5,1,1,0.838333,35.873822,0.5425,0.174138,670,3176,3846
211,2011-07-30,fall,2011,7,0,6,0,1,0.804167,32.083442,0.465833,0.168537,1559,2916,4475
212,2011-07-31,fall,2011,7,0,0,0,1,0.805833,32.166536,0.480833,0.164813,1524,2778,4302
213,2011-08-01,fall,2011,8,0,1,1,1,0.771667,30.417272000000004,0.550833,0.156717,729,3537,4266
214,2011-08-02,fall,2011,8,0,2,1,1,0.783333,30.666686,0.49125,0.20585,801,4044,4845
215,2011-08-03,fall,2011,8,0,3,1,2,0.731667,28.875842,0.6575,0.135583,467,3107,3574
216,2011-08-04,fall,2011,8,0,4,1,2,0.71,27.876008000000006,0.7575,0.19715,799,3777,4576
217,2011-08-05,fall,2011,8,0,5,1,1,0.710833,27.333422,0.630833,0.184696,1023,3843,4866
218,2011-08-06,fall,2011,8,0,6,0,2,0.716667,28.626164000000003,0.755,0.22825,1521,2773,4294
219,2011-08-07,fall,2011,8,0,0,0,1,0.7425,31.209272000000006,0.752917,0.201487,1298,2487,3785
220,2011-08-08,fall,2011,8,0,1,1,1,0.765,30.416677999999997,0.592083,0.192175,846,3480,4326
221,2011-08-09,fall,2011,8,0,2,1,1,0.775,31.791986,0.570417,0.151121,907,3695,4602
222,2011-08-10,fall,2011,8,0,3,1,1,0.766667,29.208878,0.424167,0.200258,884,3896,4780
223,2011-08-11,fall,2011,8,0,4,1,1,0.7175,27.000386,0.42375,0.164796,812,3980,4792
224,2011-08-12,fall,2011,8,0,5,1,1,0.708333,27.166772,0.415,0.125621,1051,3854,4905
225,2011-08-13,fall,2011,8,0,6,0,2,0.685833,26.626628000000004,0.729583,0.211454,1504,2646,4150
226,2011-08-14,fall,2011,8,0,0,0,2,0.676667,25.209608000000003,0.8175,0.222633,1338,2482,3820
227,2011-08-15,fall,2011,8,0,1,1,1,0.665833,24.667022000000003,0.712083,0.208954,775,3563,4338
228,2011-08-16,fall,2011,8,0,2,1,1,0.700833,26.625242,0.578333,0.236329,721,4004,4725
229,2011-08-17,fall,2011,8,0,3,1,1,0.723333,28.000286000000003,0.575417,0.143667,668,4026,4694
230,2011-08-18,fall,2011,8,0,4,1,1,0.711667,27.709028000000004,0.654583,0.233208,639,3166,3805
231,2011-08-19,fall,2011,8,0,5,1,2,0.685,25.792586,0.722917,0.139308,797,3356,4153
232,2011-08-20,fall,2011,8,0,6,0,1,0.6975,26.833736000000002,0.674167,0.104467,1914,3277,5191
233,2011-08-21,fall,2011,8,0,0,0,1,0.710833,28.584650000000003,0.77,0.248754,1249,2624,3873
234,2011-08-22,fall,2011,8,0,1,1,1,0.691667,26.124764,0.47,0.27675,833,3925,4758
235,2011-08-23,fall,2011,8,0,2,1,1,0.640833,24.000422,0.455417,0.146763,1281,4614,5895
236,2011-08-24,fall,2011,8,0,3,1,1,0.673333,25.625672,0.605,0.253108,949,4181,5130
237,2011-08-25,fall,2011,8,0,4,1,2,0.684167,26.626364000000002,0.771667,0.210833,435,3107,3542
238,2011-08-26,fall,2011,8,0,5,1,1,0.7,27.542378,0.76125,0.0839625,768,3893,4661
239,2011-08-27,fall,2011,8,0,6,0,2,0.68,25.946696000000003,0.85,0.375617,226,889,1115
240,2011-08-28,fall,2011,8,0,0,0,1,0.707059,26.765293999999997,0.561765,0.304659,1415,2919,4334
241,2011-08-29,fall,2011,8,0,1,1,1,0.636667,24.125228,0.554583,0.159825,729,3905,4634
242,2011-08-30,fall,2011,8,0,2,1,1,0.639167,23.250464,0.548333,0.125008,775,4429,5204
243,2011-08-31,fall,2011,8,0,3,1,1,0.656667,24.333986000000003,0.597917,0.0833333,688,4370,5058
244,2011-09-01,fall,2011,9,0,4,1,1,0.655,24.584786,0.639167,0.141796,783,4332,5115
245,2011-09-02,fall,2011,9,0,5,1,2,0.643333,23.917327999999998,0.727083,0.139929,875,3852,4727
246,2011-09-03,fall,2011,9,0,6,0,1,0.669167,25.792058000000004,0.716667,0.185325,1935,2549,4484
247,2011-09-04,fall,2011,9,0,0,0,1,0.709167,27.918314000000002,0.742083,0.206467,2521,2419,4940
248,2011-09-05,fall,2011,9,1,1,0,2,0.673333,25.292636,0.790417,0.212696,1236,2115,3351
249,2011-09-06,fall,2011,9,0,2,1,3,0.54,18.0032,0.886957,0.343943,204,2506,2710
250,2011-09-07,fall,2011,9,0,3,1,3,0.599167,19.919114,0.917083,0.0970208,118,1878,1996
251,2011-09-08,fall,2011,9,0,4,1,3,0.633913,20.653826000000002,0.939565,0.192748,153,1689,1842
252,2011-09-09,fall,2011,9,0,5,1,2,0.65,22.210435999999994,0.897917,0.124379,417,3127,3544
